subject_num,Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q2,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q4,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q5,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q6,Q60,Q7,Q8,Q9,agreeableness,conscientiousness,extraversion,neuroticism,openess
5,4,3,4,2,4,4,3,3,5,4,3,4,3,4,2,4,3,3,2,3,3,3,4,4,4,3,4,4,3,4,4,3,4,4,3,4,3,3,,2,3,4,3,4,3,3,2,2,4,4,2,2,3,4,3,4,4,5,2,4,40,36,40,40,42
9,4,3,4,4,4,5,4,3,4,3,5,4,4,2,2,4,3,2,4,2,5,3,3,1,4,2,1,4,4,2,5,2,5,5,5,2,4,5,,3,2,2,3,5,3,4,3,3,4,4,2,5,3,2,5,3,5,4,1,3,47,40,39,38,37
16,4,4,2,3,5,5,5,3,3,4,3,3,4,2,3,4,3,4,1,3,4,4,2,4,3,4,2,4,4,2,3,5,5,5,5,2,5,4,,5,3,3,4,5,5,4,1,4,4,4,4,2,3,4,4,3,4,3,2,5,47,52,40,28,44
17,4,2,5,3,2,2,2,5,5,5,1,3,1,3,4,5,1,1,4,3,4,2,1,2,3,1,2,3,3,2,2,5,2,4,2,4,2,5,,2,5,4,5,3,1,2,2,3,3,2,4,2,3,2,3,4,5,3,3,3,26,27,36,43,42
19,3,2,1,5,5,5,4,4,5,5,5,4,5,2,4,5,4,4,1,4,5,4,4,3,2,4,1,4,5,2,4,4,5,5,4,2,4,5,,2,2,5,5,5,2,4,2,4,5,5,4,3,4,5,4,3,5,4,4,4,50,44,51,27,53
23,4,2,5,3,5,2,4,4,3,5,5,2,5,4,3,3,2,4,5,2,4,2,3,2,4,1,1,3,4,2,3,5,3,5,4,5,2,3,,3,4,4,4,5,2,3,2,3,3,4,1,5,2,3,4,5,5,4,2,2,37,39,32,49,41
24,2,4,2,5,4,4,5,3,4,4,4,2,4,2,4,1,4,4,1,2,2,4,4,4,1,3,3,4,5,2,4,2,4,4,5,2,4,1,,4,2,5,2,4,3,4,2,3,3,5,4,2,4,4,3,5,4,4,1,5,45,50,44,26,31
29,5,3,4,5,3,5,4,4,5,5,4,4,5,1,5,4,3,4,4,4,5,3,1,2,4,4,1,4,4,2,5,2,5,5,4,2,4,1,,2,3,4,4,5,4,4,1,4,4,4,4,4,4,4,5,4,5,5,1,5,48,45,53,38,35
35,4,4,2,2,4,2,3,1,4,5,4,2,4,4,3,1,2,4,1,2,4,2,1,2,1,4,1,3,5,1,4,2,2,4,4,1,5,4,,4,1,5,5,4,4,4,1,5,5,3,5,1,2,4,4,1,5,3,1,5,35,48,41,19,37
36,3,4,1,3,5,4,4,2,5,5,5,4,5,2,4,5,3,4,1,3,4,3,2,4,2,2,2,4,5,4,3,3,2,5,5,2,3,3,,3,3,3,4,4,2,4,3,2,5,3,5,2,1,4,3,1,4,4,2,4,40,49,37,26,44
38,5,2,4,1,5,4,1,5,4,5,5,2,5,5,4,5,2,2,5,2,4,4,4,1,5,2,1,5,5,2,2,5,4,5,3,4,4,5,,1,5,4,5,5,5,4,2,4,5,4,2,5,1,4,3,4,5,2,2,4,45,36,32,51,50
