,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,20,25,20,36,21
17,17,37,19,28,36,17
23,23,35,26,29,30,16
24,24,26,20,24,36,19
29,29,27,23,25,36,16
35,35,16,17,21,33,32
36,36,18,16,26,35,25
38,38,19,16,26,33,19
42,42,25,18,26,29,25
44,44,18,24,21,37,19
45,45,19,21,19,36,31
47,47,17,21,33,33,30
50,50,16,28,32,35,17
55,55,20,31,26,36,31
58,58,16,28,26,39,26
59,59,30,29,27,32,26
60,60,22,23,22,37,22
61,61,30,20,29,31,22
62,62,26,25,29,37,29
63,63,25,21,23,34,11
65,65,25,21,30,33,23
9,9,24,30,25,37,17
16,16,25,17,25,35,26
19,19,22,19,34,33,21
66,66,18,32,16,36,32
68,68,16,17,23,36,29
71,71,27,31,28,35,21
72,72,32,21,24,36,22
73,73,28,14,22,35,18
74,74,16,19,31,33,37
75,75,16,21,27,36,20
76,76,36,19,18,35,32
77,77,25,27,25,36,25
78,78,23,20,27,36,19
80,80,27,33,33,39,27
82,82,16,14,25,36,28
89,89,26,23,23,31,15
90,90,25,16,23,18,18
97,97,27,17,19,36,21
98,98,19,32,23,36,17
99,99,26,25,23,35,23
100,100,21,28,27,37,18
101,101,22,18,20,36,20
103,103,27,17,21,26,21
107,107,38,25,27,36,22
109,109,24,21,20,28,16
111,111,23,25,33,36,28
115,115,22,17,16,35,30
116,116,31,20,32,32,20
117,117,26,27,27,37,17
118,118,32,20,23,33,18
124,124,25,17,19,21,13
125,125,19,22,24,33,16
129,129,18,22,23,36,16
130,130,19,20,27,36,22
133,133,18,35,30,36,23
134,134,18,33,22,36,25
136,136,26,13,22,34,14
138,138,25,18,28,32,13
141,141,28,23,32,32,16
