,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,20,24,20,36,22
17,17,30,22,31,35,16
23,23,30,21,27,30,12
24,24,24,18,26,35,18
29,29,24,20,27,32,12
35,35,24,22,31,30,22
36,36,19,17,29,34,18
38,38,26,20,29,32,16
42,42,24,22,30,32,20
44,44,22,29,26,37,14
45,45,26,18,27,34,16
47,47,23,20,32,34,22
50,50,21,21,30,34,16
55,55,24,22,28,34,22
58,58,20,26,23,37,20
59,59,32,31,28,35,18
60,60,22,24,29,35,19
61,61,27,22,30,35,14
62,62,22,20,28,36,26
63,63,30,20,31,30,12
65,65,24,22,28,31,22
9,9,24,28,28,37,16
16,16,22,20,25,31,14
19,19,26,20,31,31,18
66,66,24,25,24,35,16
68,68,17,23,29,34,24
71,71,24,26,27,34,14
72,72,26,18,25,33,14
73,73,26,19,25,29,20
74,74,21,24,33,29,24
75,75,23,20,29,33,14
76,76,30,18,27,31,21
77,77,24,26,28,37,22
78,78,26,22,26,32,16
80,80,26,24,31,36,22
82,82,20,19,31,31,20
89,89,34,16,25,30,10
90,90,26,22,25,24,14
97,97,22,20,21,33,14
98,98,24,29,27,36,14
99,99,28,24,25,34,20
100,100,26,22,30,36,16
101,101,25,22,26,33,18
103,103,26,19,26,24,24
107,107,37,22,26,34,20
109,109,23,20,29,29,17
111,111,21,26,31,38,26
115,115,24,22,25,36,20
116,116,24,20,32,28,19
117,117,22,26,29,35,18
118,118,26,22,23,30,14
124,124,26,23,26,29,14
125,125,23,24,27,32,16
129,129,21,22,28,32,16
130,130,20,27,28,34,28
133,133,20,34,28,37,24
134,134,21,28,32,33,24
136,136,26,18,27,30,16
138,138,24,23,29,31,16
141,141,28,24,29,35,18
