,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,26,24,32,36,27
17,17,36,24,32,30,19
23,23,36,21,34,28,16
24,24,28,20,30,36,23
29,29,30,24,35,34,28
35,35,22,18,27,34,27
36,36,20,22,30,34,30
38,38,26,14,33,36,19
42,42,24,26,32,28,28
44,44,22,32,28,36,26
45,45,24,16,21,37,30
47,47,21,22,34,34,33
50,50,14,19,36,36,27
55,55,20,28,31,36,34
58,58,20,29,20,39,27
59,59,34,31,30,24,26
60,60,26,19,32,34,28
61,61,36,30,32,28,26
62,62,30,26,33,37,30
63,63,32,21,30,26,17
65,65,34,26,30,30,28
9,9,22,32,30,36,24
16,16,28,26,30,30,28
19,19,28,25,33,30,28
66,66,24,32,27,37,30
68,68,17,22,32,37,34
71,71,32,31,28,28,24
72,72,30,21,26,34,27
73,73,36,13,31,30,19
74,74,20,17,28,34,33
75,75,14,18,31,34,29
76,76,34,17,26,27,27
77,77,28,22,27,36,27
78,78,28,20,33,34,28
80,80,36,24,38,36,25
82,82,20,14,30,36,31
89,89,37,25,29,28,17
90,90,30,14,29,22,20
97,97,26,21,28,36,24
98,98,26,34,30,36,20
99,99,32,28,19,30,28
100,100,30,23,33,35,18
101,101,30,17,33,37,21
103,103,34,15,25,26,28
107,107,36,19,36,35,24
109,109,32,15,28,30,11
111,111,22,32,32,34,28
115,115,26,19,21,34,32
116,116,32,20,37,30,26
117,117,24,30,30,37,26
118,118,32,22,30,30,26
124,124,35,19,27,33,23
125,125,20,18,25,36,24
129,129,24,13,32,36,27
130,130,24,26,31,30,26
133,133,22,30,31,36,27
134,134,22,33,29,35,30
136,136,30,17,29,35,22
138,138,29,16,35,36,12
141,141,28,21,35,30,25
