,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,18,24,23,36,13
17,17,36,29,29,36,11
23,23,32,17,29,20,12
24,24,19,19,24,35,12
29,29,23,23,28,36,13
35,35,20,20,27,32,25
36,36,19,17,32,34,17
38,38,18,20,29,32,12
42,42,23,21,31,32,22
44,44,20,30,26,37,14
45,45,18,19,22,35,24
47,47,21,20,30,33,25
50,50,12,23,32,35,11
55,55,19,27,33,36,32
58,58,17,28,28,39,18
59,59,35,32,29,33,20
60,60,22,21,27,36,22
61,61,36,24,30,34,13
62,62,22,20,31,37,22
63,63,26,20,26,33,9
65,65,27,18,30,35,27
9,9,22,28,27,36,16
16,16,26,20,30,33,16
19,19,20,19,33,33,22
66,66,20,29,22,36,24
68,68,16,20,28,33,23
71,71,34,26,27,31,13
72,72,31,16,27,36,14
73,73,31,14,25,29,14
74,74,17,22,32,33,30
75,75,16,20,28,34,17
76,76,37,18,25,33,25
77,77,28,21,26,36,16
78,78,30,17,29,36,13
80,80,34,21,35,35,18
82,82,19,16,27,33,24
89,89,30,18,26,27,11
90,90,30,14,22,21,13
97,97,25,20,24,35,12
98,98,25,32,28,35,12
99,99,30,22,25,35,16
100,100,26,17,28,33,12
101,101,22,18,26,33,14
103,103,28,17,23,27,23
107,107,39,18,29,33,18
109,109,25,15,25,31,10
111,111,18,32,31,36,21
115,115,19,16,21,33,30
116,116,33,20,33,29,17
117,117,23,27,27,35,12
118,118,31,17,22,31,13
124,124,35,17,24,26,13
125,125,12,25,25,32,14
129,129,23,21,24,35,14
130,130,19,20,31,36,16
133,133,20,35,31,36,19
134,134,18,34,26,35,20
136,136,30,12,25,31,12
138,138,21,21,30,34,8
141,141,26,24,32,37,14
