,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,31,30,32,35,21
17,17,40,28,31,33,13
23,23,34,25,31,23,13
24,24,24,27,30,34,17
29,29,26,30,29,35,21
35,35,23,22,28,33,26
36,36,21,26,26,35,23
38,38,20,22,28,34,17
42,42,30,28,33,30,25
44,44,25,31,25,33,18
45,45,25,26,22,34,24
47,47,25,28,32,33,27
50,50,15,24,33,36,17
55,55,25,30,29,34,27
58,58,19,37,26,43,28
59,59,32,35,31,32,23
60,60,31,26,29,34,23
61,61,38,27,27,33,20
62,62,26,33,26,35,27
63,63,33,28,28,31,9
65,65,33,29,32,32,20
9,9,25,34,30,36,21
16,16,29,27,28,32,22
19,19,26,26,31,30,20
66,66,23,32,26,37,28
68,68,22,27,27,32,28
71,71,37,32,30,32,19
72,72,33,18,26,34,21
73,73,33,13,22,31,17
74,74,22,25,31,32,24
75,75,29,19,33,31,18
76,76,38,21,28,32,25
77,77,32,30,29,35,21
78,78,35,25,31,36,20
80,80,37,31,36,36,21
82,82,27,18,29,32,24
89,89,33,22,28,28,11
90,90,34,25,28,20,12
97,97,22,25,22,34,17
98,98,26,32,28,33,17
99,99,34,31,25,32,22
100,100,32,33,33,35,17
101,101,28,27,28,33,17
103,103,31,24,26,26,22
107,107,42,18,31,34,22
109,109,31,23,27,30,17
111,111,25,30,33,36,29
115,115,29,24,25,32,31
116,116,31,33,37,26,24
117,117,30,33,27,35,20
118,118,35,22,24,32,19
124,124,35,21,25,26,14
125,125,24,28,24,26,17
129,129,27,27,28,33,18
130,130,26,28,33,35,22
133,133,21,36,32,36,21
134,134,25,35,30,34,28
136,136,27,18,28,32,15
138,138,24,24,33,31,17
141,141,32,28,33,32,19
