,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,20,28,34,36,21
17,17,34,26,30,34,24
23,23,32,22,30,36,21
24,24,20,26,34,36,23
29,29,28,30,34,36,24
35,35,20,25,25,36,24
36,36,16,24,32,36,32
38,38,19,26,31,36,17
42,42,28,32,32,34,26
44,44,30,28,33,36,22
45,45,26,32,30,36,24
47,47,22,30,35,36,31
50,50,19,30,34,36,22
55,55,21,30,29,36,28
58,58,22,26,24,37,28
59,59,32,32,32,34,28
60,60,30,28,32,36,30
61,61,36,30,32,36,24
62,62,24,28,34,36,25
63,63,34,24,28,32,18
65,65,30,34,32,34,27
9,9,21,34,30,36,24
16,16,28,28,32,36,26
19,19,22,30,34,36,25
66,66,24,30,28,37,31
68,68,16,27,34,36,26
71,71,36,36,37,30,24
72,72,30,26,33,36,28
73,73,34,25,32,36,24
74,74,22,28,31,34,30
75,75,20,32,34,36,25
76,76,34,22,24,36,28
77,77,30,28,27,35,23
78,78,22,28,32,36,23
80,80,30,31,37,36,27
82,82,18,22,28,36,29
89,89,32,16,34,35,18
90,90,30,30,28,32,22
97,97,23,23,25,36,16
98,98,30,34,34,36,22
99,99,26,30,34,34,24
100,100,24,28,34,36,23
101,101,24,24,31,36,21
103,103,36,20,28,26,26
107,107,36,26,31,34,29
109,109,34,26,29,31,12
111,111,22,29,35,36,25
115,115,32,21,24,35,32
116,116,30,30,30,28,28
117,117,18,32,30,36,24
118,118,32,31,32,36,22
124,124,36,16,31,34,16
125,125,30,27,32,36,18
129,129,26,23,33,36,22
130,130,20,32,32,36,26
133,133,18,32,34,36,22
134,134,24,36,32,36,28
136,136,26,22,32,36,25
138,138,28,30,34,36,17
141,141,24,30,32,36,25
