,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,29,22,22,39,24
17,17,39,23,24,33,16
23,23,37,19,23,25,12
24,24,22,18,26,31,13
29,29,23,24,22,34,26
35,35,21,22,19,24,30
36,36,11,19,23,35,28
38,38,21,18,25,32,16
42,42,31,17,27,27,25
44,44,22,29,25,33,18
45,45,16,18,16,36,22
47,47,15,23,29,31,31
50,50,13,26,27,31,21
55,55,12,29,26,41,38
58,58,19,34,17,38,23
59,59,36,31,22,34,26
60,60,25,20,18,35,26
61,61,38,24,26,32,25
62,62,23,26,28,37,30
63,63,35,18,19,32,12
65,65,31,20,25,31,29
9,9,27,34,28,39,21
16,16,26,21,26,33,29
19,19,21,25,35,31,21
66,66,23,26,20,35,30
68,68,13,25,26,35,24
71,71,33,28,27,30,20
72,72,32,20,19,37,25
73,73,36,12,17,30,15
74,74,16,18,26,27,37
75,75,17,17,24,32,20
76,76,41,15,19,30,23
77,77,31,24,18,37,19
78,78,29,16,28,35,21
80,80,37,25,34,40,25
82,82,12,23,20,34,35
89,89,34,16,24,28,14
90,90,33,13,20,25,12
97,97,28,22,23,38,17
98,98,23,28,25,34,18
99,99,31,23,21,37,24
100,100,27,25,31,33,14
101,101,28,18,26,35,14
103,103,34,15,17,23,26
107,107,41,15,25,34,25
109,109,35,16,19,25,9
111,111,19,29,31,36,26
115,115,26,18,14,33,34
116,116,35,17,34,31,21
117,117,25,29,24,39,20
118,118,35,21,18,31,21
124,124,33,12,20,26,13
125,125,16,19,19,32,18
129,129,23,19,21,32,18
130,130,23,24,31,32,26
133,133,12,33,29,40,21
134,134,18,37,21,31,33
136,136,32,13,20,35,17
138,138,25,16,32,34,12
141,141,24,27,29,31,17
