,participantID,neoOpenness,neoConscientiousness,neoExtraversion,neoAgreeableness,neoNeuroticism
0,85,1.75,2.625,1.375,2.5,2.75
1,54,1.9583333333333333,2.9166666666666665,2.1666666666666665,2.9583333333333335,2.125
2,78,2.5,2.625,1.5,3.1666666666666665,3.2083333333333335
3,97,2.4166666666666665,2.9166666666666665,1.7083333333333333,3.25,2.25
4,48,1.75,3.125,2.0833333333333335,3.125,0.9583333333333334
5,9,2.6666666666666665,2.75,1.6666666666666667,3.2916666666666665,2.5833333333333335
6,13,1.8333333333333333,2.8333333333333335,2.5,3.125,1.5
7,17,2.6666666666666665,2.9583333333333335,2.4166666666666665,3.3333333333333335,1.5833333333333333
8,135,2.2916666666666665,2.3333333333333335,2.0,3.0833333333333335,2.5833333333333335
9,67,2.125,2.0833333333333335,2.0833333333333335,1.9166666666666667,2.625
10,88,2.1666666666666665,2.9166666666666665,1.9166666666666667,2.9583333333333335,2.4166666666666665
11,132,1.6666666666666667,1.9583333333333333,1.4166666666666667,2.7083333333333335,2.7083333333333335
12,127,2.625,2.875,2.0,2.9166666666666665,2.6666666666666665
13,56,3.0,2.75,2.5416666666666665,3.3333333333333335,2.9166666666666665
14,52,1.9583333333333333,2.625,0.8333333333333334,2.875,3.2083333333333335
15,125,2.2916666666666665,3.1666666666666665,2.4583333333333335,3.6666666666666665,1.4166666666666667
16,39,2.0416666666666665,3.0416666666666665,2.7916666666666665,2.7916666666666665,1.5833333333333333
17,1,1.75,1.9166666666666667,1.8333333333333333,2.4583333333333335,2.75
18,25,2.1666666666666665,3.0,1.625,2.875,1.8333333333333333
19,53,2.4166666666666665,3.1666666666666665,2.7083333333333335,3.0416666666666665,1.6666666666666667
20,6,2.2083333333333335,2.1666666666666665,1.5833333333333333,2.7916666666666665,3.2916666666666665
21,114,2.0,2.8333333333333335,2.625,2.9166666666666665,1.0833333333333333
22,128,2.25,2.9583333333333335,1.7916666666666667,3.4166666666666665,2.3333333333333335
23,86,2.7083333333333335,3.0416666666666665,2.2916666666666665,3.2083333333333335,2.2916666666666665
24,61,2.7083333333333335,3.6666666666666665,3.2083333333333335,3.4166666666666665,0.75
25,130,2.7916666666666665,2.75,3.125,2.7916666666666665,1.0833333333333333
26,96,2.1666666666666665,2.3333333333333335,2.0,3.2083333333333335,2.5416666666666665
27,76,2.75,2.7083333333333335,2.0833333333333335,3.125,3.0
28,3,2.375,2.75,2.5,2.875,2.5
29,33,2.5416666666666665,2.9583333333333335,1.625,2.875,2.5
30,11,2.0,2.9166666666666665,2.125,2.9583333333333335,1.75
31,99,2.0416666666666665,3.1666666666666665,2.6666666666666665,2.875,1.25
32,50,2.7083333333333335,3.1666666666666665,2.4583333333333335,3.3333333333333335,2.0833333333333335
33,2,2.25,2.0416666666666665,2.2083333333333335,2.0416666666666665,2.9583333333333335
34,28,1.875,2.625,2.625,2.5,1.125
35,65,1.75,2.0416666666666665,1.9583333333333333,2.75,3.1666666666666665
36,118,2.7916666666666665,2.4583333333333335,2.75,3.2916666666666665,1.9166666666666667
37,122,2.2083333333333335,3.0,1.8333333333333333,2.8333333333333335,2.4166666666666665
38,138,1.5833333333333333,2.2083333333333335,1.625,2.5,2.3333333333333335
39,113,2.375,3.0833333333333335,2.4166666666666665,3.125,2.1666666666666665
40,104,2.4166666666666665,3.0833333333333335,2.5833333333333335,3.2083333333333335,1.8333333333333333
41,89,1.875,2.0,2.0,2.125,2.1666666666666665
42,147,1.9583333333333333,2.0833333333333335,1.5,2.5,1.75
43,93,1.9583333333333333,3.0833333333333335,1.9583333333333333,3.0,2.125
44,47,2.25,2.5,2.2916666666666665,2.9166666666666665,1.75
45,121,2.5,3.3333333333333335,2.5416666666666665,3.2083333333333335,1.5833333333333333
46,22,1.7083333333333333,2.6666666666666665,1.8333333333333333,2.7916666666666665,2.1666666666666665
47,68,2.1666666666666665,2.875,2.5,3.125,1.2083333333333333
48,84,2.1666666666666665,3.2916666666666665,2.625,2.875,1.9166666666666667
49,35,2.4166666666666665,3.25,2.1666666666666665,3.125,2.3333333333333335
50,69,2.625,3.25,2.375,3.0833333333333335,2.7083333333333335
51,80,1.9583333333333333,2.7083333333333335,2.5,3.0833333333333335,1.2083333333333333
52,131,2.25,2.75,2.875,3.375,1.5
53,107,2.125,2.9583333333333335,1.625,2.5416666666666665,2.7916666666666665
54,112,1.5,2.7083333333333335,1.0833333333333333,2.5416666666666665,2.2916666666666665
55,79,1.7916666666666667,2.8333333333333335,2.4583333333333335,3.2916666666666665,0.625
56,40,1.9166666666666667,2.2916666666666665,0.9583333333333334,2.0416666666666665,3.125
57,81,2.2916666666666665,1.6666666666666667,0.875,2.9583333333333335,3.625
58,74,2.0416666666666665,2.9583333333333335,2.0,3.0416666666666665,1.5833333333333333
59,119,2.3333333333333335,2.8333333333333335,2.5416666666666665,2.9583333333333335,2.5
60,60,1.9583333333333333,2.3333333333333335,2.625,2.4166666666666665,2.7916666666666665
61,41,2.1666666666666665,2.5,2.75,2.2083333333333335,2.5
62,129,2.0833333333333335,3.0,2.875,3.0833333333333335,0.9583333333333334
63,4,2.6666666666666665,2.2083333333333335,2.2083333333333335,2.3333333333333335,3.125
64,30,2.5,2.6666666666666665,3.375,3.0,0.8333333333333334
65,27,2.4583333333333335,3.0833333333333335,2.4583333333333335,2.9166666666666665,2.4166666666666665
66,105,2.25,2.125,1.7916666666666667,3.3333333333333335,2.5833333333333335
67,137,2.0416666666666665,3.0833333333333335,1.9166666666666667,3.2083333333333335,2.6666666666666665
68,55,2.3333333333333335,2.6666666666666665,2.4166666666666665,2.9583333333333335,1.5833333333333333
69,139,2.5416666666666665,2.9583333333333335,2.2083333333333335,3.25,2.1666666666666665
70,26,2.25,3.0833333333333335,2.3333333333333335,3.0416666666666665,2.5
71,57,2.5833333333333335,3.0416666666666665,2.7083333333333335,3.3333333333333335,2.3333333333333335
72,140,2.5,2.5833333333333335,2.5833333333333335,3.1666666666666665,1.6666666666666667
73,91,2.5,3.125,1.7916666666666667,3.5,1.7916666666666667
74,82,2.5416666666666665,2.625,1.375,3.6666666666666665,2.7083333333333335
75,64,2.3333333333333335,3.0416666666666665,1.8333333333333333,3.2916666666666665,1.6666666666666667
76,8,2.125,3.0416666666666665,2.375,2.9166666666666665,2.0833333333333335
77,120,2.5416666666666665,3.1666666666666665,2.3333333333333335,3.0416666666666665,2.5833333333333335
78,36,2.0,2.0416666666666665,1.625,2.75,3.125
79,111,2.4166666666666665,3.3333333333333335,2.625,3.2083333333333335,0.875
80,23,2.7916666666666665,2.5833333333333335,2.7916666666666665,2.9166666666666665,1.9166666666666667
81,102,2.5,2.75,1.9583333333333333,2.8333333333333335,2.9166666666666665
82,66,2.375,2.7916666666666665,2.2083333333333335,2.9166666666666665,1.5833333333333333
83,133,2.375,3.2083333333333335,2.0,3.5,2.75
84,70,3.3333333333333335,3.0833333333333335,3.3333333333333335,3.3333333333333335,2.1666666666666665
85,44,2.125,2.5833333333333335,2.7083333333333335,3.0,2.0416666666666665
86,20,2.5833333333333335,3.125,2.7916666666666665,3.4166666666666665,2.6666666666666665
87,58,1.875,2.0416666666666665,1.0833333333333333,2.5,2.375
88,7,2.5416666666666665,2.7083333333333335,1.5,3.2916666666666665,2.8333333333333335
89,87,1.7083333333333333,3.25,2.3333333333333335,3.2083333333333335,1.0
90,51,2.25,2.125,2.4166666666666665,2.125,2.625
91,5,2.5416666666666665,2.9583333333333335,2.375,3.25,2.8333333333333335
92,94,2.2916666666666665,2.9583333333333335,2.625,3.0416666666666665,1.4166666666666667
93,83,1.7916666666666667,2.2916666666666665,0.7083333333333334,2.4166666666666665,3.375
94,15,2.75,2.4583333333333335,2.8333333333333335,2.75,2.875
95,134,2.625,1.7916666666666667,2.3333333333333335,2.5,2.875
96,98,2.3333333333333335,2.7083333333333335,1.4583333333333333,3.2083333333333335,2.7083333333333335
97,109,2.5,2.7083333333333335,1.8333333333333333,3.25,2.6666666666666665
98,37,1.9583333333333333,3.0,3.0833333333333335,3.375,1.6666666666666667
99,19,2.0,2.9583333333333335,0.7916666666666666,3.2083333333333335,2.5
100,32,2.75,2.625,3.0,2.7916666666666665,1.1666666666666667
101,10,3.0833333333333335,2.2916666666666665,3.0833333333333335,2.125,2.6666666666666665
102,72,2.0416666666666665,3.25,2.625,3.3333333333333335,1.625
103,62,2.2916666666666665,3.0416666666666665,2.4583333333333335,3.0416666666666665,1.5833333333333333
104,59,1.5,3.125,2.25,3.3333333333333335,1.1666666666666667
105,108,2.375,3.0,2.5833333333333335,2.7916666666666665,2.1666666666666665
106,103,2.375,1.75,1.375,2.875,3.2083333333333335
107,100,2.0416666666666665,2.8333333333333335,2.5,2.9166666666666665,1.25
