,participantID,neoOpenness,neoConscientiousness,neoExtraversion,neoAgreeableness,neoNeuroticism
0,85,1.7083333333333333,1.75,1.1666666666666667,2.4583333333333335,2.6666666666666665
1,54,2.125,2.75,2.4166666666666665,3.0416666666666665,1.8333333333333333
2,78,2.0416666666666665,2.3333333333333335,1.8333333333333333,2.875,2.5833333333333335
3,97,2.375,2.75,2.4166666666666665,2.8333333333333335,1.4166666666666667
4,48,1.4166666666666667,2.9166666666666665,1.5833333333333333,2.8333333333333335,1.0416666666666667
5,9,2.2083333333333335,2.5833333333333335,1.9583333333333333,2.9166666666666665,2.0833333333333335
6,13,2.1666666666666665,2.5833333333333335,2.5,2.7916666666666665,1.3333333333333333
7,17,2.2916666666666665,2.75,2.1666666666666665,2.9583333333333335,1.375
8,135,2.6666666666666665,2.6666666666666665,2.75,2.875,1.9166666666666667
9,67,2.0416666666666665,2.3333333333333335,1.6666666666666667,2.5833333333333335,2.3333333333333335
10,88,1.8333333333333333,2.4166666666666665,1.9166666666666667,2.9166666666666665,2.4166666666666665
11,132,1.4583333333333333,2.6666666666666665,1.75,3.0416666666666665,2.4166666666666665
12,127,2.1666666666666665,2.8333333333333335,2.3333333333333335,2.875,1.6666666666666667
13,56,2.5,2.4166666666666665,2.9166666666666665,2.9166666666666665,1.8333333333333333
14,52,1.8333333333333333,2.1666666666666665,1.25,2.4583333333333335,2.6666666666666665
15,125,2.25,2.8333333333333335,2.1666666666666665,3.3333333333333335,1.3333333333333333
16,39,2.2083333333333335,2.8333333333333335,2.5833333333333335,2.5833333333333335,1.0833333333333333
17,1,1.5,1.1666666666666667,1.125,1.8333333333333333,2.75
18,25,1.7083333333333333,2.7916666666666665,1.5833333333333333,2.625,1.25
19,53,2.25,2.6666666666666665,2.4166666666666665,2.9166666666666665,1.4583333333333333
20,6,1.7916666666666667,2.25,1.4166666666666667,2.625,2.6666666666666665
21,114,1.625,2.8333333333333335,2.3333333333333335,3.0,1.0
22,128,2.0833333333333335,2.5416666666666665,1.9583333333333333,3.3333333333333335,1.2916666666666667
23,86,2.5,2.6666666666666665,2.0833333333333335,2.9583333333333335,1.4166666666666667
