participantID,neoNeuroticism,neoExtraversion,neoOpenness,neoAgreeableness,neoConscientiousness
85,2.636904762,1.107142857,1.547619048,2.702380952,2.494047619
54,1.916666667,2.25,1.869047619,2.964285714,3.273809524
78,3.083333333,1.553571429,2.119047619,3.238095238,2.68452381
97,1.68452381,2.047619048,2.345238095,3.226190476,2.904761905
48,0.797619048,2.071428571,1.577380952,3.089285714,3.261904762
9,2.541666667,1.56547619,2.55952381,3.220238095,2.56547619
13,1.5,2.44047619,1.904761905,3.101190476,2.80952381
17,1.30952381,2.386904762,2.351190476,3.410714286,2.773809524
135,2.357142857,2.18452381,2.446428571,3.172619048,2.416666667
67,2.648809524,1.619047619,1.958333333,2.369047619,2.136904762
88,2.452380952,1.630952381,1.982142857,2.976190476,2.875
132,2.547619048,1.345238095,1.482142857,2.845238095,2.095238095
127,2.339285714,2.160714286,2.095238095,2.988095238,3.095238095
56,2.30952381,2.857142857,2.755952381,3.297619048,2.863095238
52,2.958333333,0.910714286,1.755952381,2.714285714,2.660714286
125,1.101190476,2.505952381,2.202380952,3.660714286,3.303571429
39,1.154761905,2.738095238,2.029761905,2.886904762,3.25
1,2.511904762,1.505952381,1.547619048,2.422619048,2
25,1.392857143,1.773809524,2.077380952,2.738095238,3.023809524
53,1.44047619,2.630952381,2.25,3.238095238,3.226190476
6,3.148809524,1.535714286,1.886904762,2.761904762,2.023809524
114,0.732142857,2.357142857,1.648809524,3.005952381,2.833333333
128,1.714285714,1.797619048,2.011904762,3.529761905,2.988095238
86,1.964285714,2.196428571,2.696428571,3.345238095,2.803571429
61,0.702380952,3.041666667,2.523809524,3.208333333,3.494047619
130,0.892857143,3.035714286,2.702380952,2.827380952,2.851190476
96,2.232142857,2.089285714,2.226190476,3.351190476,2.339285714
76,2.761904762,1.952380952,2.410714286,2.994047619,2.601190476
3,2.386904762,2.285714286,2.285714286,3.107142857,2.601190476
33,2.375,1.767857143,2.601190476,3.017857143,2.738095238
11,1.68452381,1.910714286,1.720238095,2.863095238,2.875
99,0.81547619,2.535714286,1.964285714,3.214285714,3.386904762
