,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,28,24,32,36,27
17,17,36,24,35,30,19
23,23,34,22,34,29,18
24,24,28,18,30,36,23
29,29,26,22,34,34,28
35,35,22,20,27,34,28
36,36,20,21,30,33,32
38,38,26,14,32,36,17
42,42,26,26,30,28,26
44,44,22,29,31,36,26
45,45,24,16,25,37,30
47,47,22,24,32,34,32
50,50,14,20,35,36,25
55,55,20,27,32,36,34
58,58,20,29,23,38,27
59,59,34,31,30,24,27
60,60,26,22,33,34,28
61,61,36,26,34,28,26
62,62,28,27,31,36,28
63,63,32,21,28,26,15
65,65,34,24,29,30,26
9,9,22,32,33,36,24
16,16,28,24,30,32,28
19,19,28,24,33,28,28
66,66,22,32,28,37,30
68,68,17,22,29,35,32
71,71,32,31,26,28,22
72,72,30,21,25,34,29
73,73,34,13,26,28,18
74,74,22,18,28,32,33
75,75,14,18,34,35,26
76,76,37,16,25,26,29
77,77,30,23,25,34,27
78,78,28,20,33,36,27
80,80,34,25,36,34,26
82,82,20,14,32,36,33
89,89,36,23,28,29,17
90,90,32,14,24,20,18
97,97,26,21,30,36,25
98,98,26,32,30,36,20
99,99,34,28,20,30,28
100,100,30,23,33,36,17
101,101,30,17,32,38,20
103,103,34,15,27,26,28
107,107,36,19,36,35,25
109,109,36,16,30,28,11
111,111,22,30,32,33,29
115,115,24,16,22,33,32
116,116,30,18,39,30,24
117,117,24,30,30,36,27
118,118,32,17,28,32,26
124,124,34,19,29,31,23
125,125,18,17,26,35,24
129,129,23,15,31,35,25
130,130,24,30,32,30,28
133,133,22,30,31,36,27
134,134,22,33,27,36,30
136,136,32,15,30,35,22
138,138,28,16,35,36,12
141,141,30,21,35,31,26
